Is_contract,Creator name,Creator address,Contracts,Bytecodes,Selfdestructed contracts,Ephemeral contracts,Addresses,Addresses with reinits,Contracts at addresses with reinits
true,,8a1dbad1642cf287271c6b646b9562e41134d6e5,2948,1,2948,2948,2948,0,0
true,ThreeFMutual,66be1bc6c6af47900bbd4f3711801be6c2c6cb32,2938,1,2938,2938,2938,0,0
true,,5ccb6f1526ae486e16fcc0f0a3f2415057a832e0,2914,2,2914,2914,2914,0,0
true,,b595227038a25b1212a62e9b73ccb8afeeed85ca,2860,1,2860,2860,2860,0,0
true,,94edc4a3065a7a42db6c57614e513992b2eb3ee4,2840,1,2679,0,2840,0,0
true,,a682fcad7f13adbe67591e42adedf5ce84128450,2840,1,2840,2840,2840,0,0
true,,e54d5253d95b6ea7ec383d184c8c88e2611cad32,2835,1,2835,2835,2835,0,0
true,,0000000000a1c7212a1c129512d80eb30d14dc08,2816,1,1962,0,2816,0,0
true,,000000000a3c7c86345a35a0e97a4bb4370a8dd9,2802,1,491,0,2802,0,0
true,,b325c7131d7b486a6859951fdbfaac97e2c09d0d,2800,1,2800,2800,2800,0,0
true,,000000000000740a22fa209cf6806d38f7605385,2729,2,2561,0,2714,13,28
true,,db9a34c5335396b87b01694ba5e3e4caec5dd844,2706,1,2706,2706,2706,0,0
true,,255fd6c40e0fd16e8d6b7d71ee93a64d9b00aa00,2680,1,2680,2680,2680,0,0
true,,6b635d33dedf51f1f752cf82114111eef8d126db,2680,1,2680,2680,2680,0,0
true,,ba5f105d9ad85eee33ee52a31e6944a08482911b,2600,1,2600,2600,2600,0,0
true,,f74069ab6c17afa80550095ee78078b43560f99e,2552,1,2552,2552,2552,0,0
false,,a394a1094ec7dbe8bc1bee8b4daddbf1a46c7391,2549,2,26,0,2549,0,0
true,,d5833b81de4df4d782f39b787182d44382842455,2501,1,2501,2501,2501,0,0
true,,00000000004c46cecbb6b3c67de2d24fbf4dd487,2500,1,1899,0,800,760,2460
true,,000000000bdbd514fd0ebb5b5773e006145d5140,2462,1,1603,0,2462,0,0
true,,1f550197f75ebb126877c75d0762e26edb5b2c18,2450,1,2450,2450,2450,0,0
true,,b429b6429e59d45f47ddac6b29f77765adb7a5fa,2440,1,2440,2440,2440,0,0
true,,72359f61b5bea771a41dfbc926574b0316378ef5,2360,1,2360,2360,2360,0,0
true,,89fce8caf9503bf60a3265ea75dc51886d9852d7,2310,1,2310,2310,2310,0,0
true,,c0f6670fb9cdfa8bc2f4a4ebd181a9cf69754fea,2295,1,2295,2295,1202,372,1465
true,,00000000aca7ba47149da8a2f0ce02d140ecfa12,2290,1,442,0,2290,0,0
true,,84f6b991e697feb533743f1ec21cba0c98ab2d31,2255,1,2255,2255,2255,0,0
true,,f261fa1a1f649f9045fddc157a503d5a832c0897,2226,1,2170,0,2226,0,0
true,,3b51f88c7f86c75e0e40bea0fc377657d2da1965,2223,1,2223,2223,2223,0,0
true,,8cf1b8dc107be05e398887be148985f529450a04,2214,1,2214,2214,2214,0,0
true,,000000917de6037d52b1f0a306eecd208405f7cd,2208,1,2129,0,2208,0,0
false,,43a9dbf80a29186387e6c5f5e26625807ac9f6a5,2202,1,2202,2202,2202,0,0
true,,d98b43f059299e8ca92fdd790d05f7e797c3149a,2200,1,2200,2200,2200,0,0
true,,fe831c3f2c51d6e21d389fc8803818dfd9a6d8fa,2200,1,2200,2200,2200,0,0
true,,1017e5b23dab1a50bd9d546eff7b0cb4040c1736,2100,1,2100,2100,2100,0,0
true,,7717f903bff2a329ea8e6503166c154a4078411e,2080,1,2080,2080,2080,0,0
true,,bdae2e17c75c90984d05168fc2402d60f422be57,2058,1,2058,2058,2058,0,0
